,Year,Month,Day,District Name,Victims,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR,Weekday,Holiday,Yesterday accidents
3037,2017,12,19,6,2,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3038,2017,12,20,0,5,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3039,2017,12,20,1,10,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3040,2017,12,20,3,5,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3041,2017,12,20,10,1,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3042,2017,12,20,7,5,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3043,2017,12,20,9,3,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3044,2017,12,20,2,1,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3045,2017,12,20,6,1,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3046,2017,12,20,4,2,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3047,2017,12,20,8,1,0.26245847176079734,0.3915662650602409,0.11029411764705882,0.0,0.0,0.6989247311827957,0.0,0.6625766871165645,0.40211640211640215,0.362406015037594,0.4541751527494909,0.0,0.0,0.0,0.0,0.0,0.0,6,0,34
3048,2017,12,21,7,4,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3049,2017,12,21,1,5,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3050,2017,12,21,8,4,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3051,2017,12,21,9,3,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3052,2017,12,21,2,4,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3053,2017,12,21,3,3,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3054,2017,12,21,0,1,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3055,2017,12,21,4,2,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3056,2017,12,21,6,3,0.3189368770764119,0.45783132530120474,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6196319018404908,0.3148148148148148,0.3097744360902256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,34
3057,2017,12,22,1,7,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3058,2017,12,22,5,2,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3059,2017,12,22,6,3,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3060,2017,12,22,7,2,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3061,2017,12,22,0,2,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3062,2017,12,22,9,5,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3063,2017,12,22,2,2,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3064,2017,12,22,8,2,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3065,2017,12,22,4,1,0.34551495016611294,0.48493975903614456,0.2573529411764706,0.0,0.0,0.6774193548387097,0.0,0.6687116564417178,0.5476190476190477,0.44210526315789467,0.4908350305498982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
3066,2017,12,23,9,4,0.3056478405315614,0.4427710843373493,0.22058823529411764,0.0,0.0,0.7849462365591399,0.0,0.7730061349693251,0.4417989417989418,0.362406015037594,0.4144602851323829,0.0,0.0,0.0,0.0,0.0,0.0,2,0,26
3067,2017,12,23,5,2,0.3056478405315614,0.4427710843373493,0.22058823529411764,0.0,0.0,0.7849462365591399,0.0,0.7730061349693251,0.4417989417989418,0.362406015037594,0.4144602851323829,0.0,0.0,0.0,0.0,0.0,0.0,2,0,26
3068,2017,12,23,1,6,0.3056478405315614,0.4427710843373493,0.22058823529411764,0.0,0.0,0.7849462365591399,0.0,0.7730061349693251,0.4417989417989418,0.362406015037594,0.4144602851323829,0.0,0.0,0.0,0.0,0.0,0.0,2,0,26
