Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
2017,2,11,10.4,14,6.9,0,0,82,0,10.5,20.7,35.2,63,0,1,0,0,0,0
2017,2,12,13.5,14.6,12,0,0,86,0,8.9,30,42.4,50,0,0,0,0,0,0
2017,2,13,13.7,14.7,13,0,0,90,8.89,6.9,31.7,66.5,0,0,1,0,0,0,0
2017,2,14,13.3,16.6,10,0,0,84,1.02,10.1,11.3,22.2,31.7,0,0,0,0,0,0
2017,2,15,13.4,16.6,10,0,0,84,0,10.3,14.3,25.9,31.7,0,1,0,0,0,0
2017,2,16,12.8,15.6,9,0,0,86,0,9.8,8.1,13,0,0,0,0,0,0,0
2017,2,17,11.1,15,8,0,0,86,0,9.3,14.8,27.8,0,0,0,0,0,0,0
2017,2,18,10.4,15,7,0,0,84,0,7.2,10.6,20.6,0,1,0,0,0,0,0
2017,2,19,12.1,16.2,9,0,0,79,0,9.5,10.9,20.6,37,0,0,0,0,0,0
2017,2,20,11.6,16.2,7.7,0,0,74,0,10.3,15,22.2,40.7,0,0,0,0,0,0
2017,2,21,11.3,16.2,7,0,0,73,0,9.7,16.9,25.9,46.5,0,0,0,0,0,0
2017,2,22,12.3,18.2,8,0,0,64,0,11.7,15.7,24.1,35.2,0,0,0,0,0,0
2017,2,23,12.9,18.1,9,0,0,65,0,0,14.4,29.4,0,0,0,0,0,0,0
2017,2,24,12.2,14.1,10,0,0,89,1.02,7.1,8.1,25.9,0,1,1,0,0,0,0
2017,2,25,10.4,14.5,6,0,0,73,5.33,9.5,11.7,25.9,37,0,0,0,0,0,0
2017,2,26,10.4,15,5.9,0,0,82,0,10.1,17.8,29.4,0,0,0,0,0,0,0
2017,2,27,12.7,16,10,0,0,79,0,10,17.2,35.2,0,0,0,0,0,0,0
2017,2,28,14.3,18,10.9,0,0,59,0,9.8,26.5,40.7,0,0,0,0,0,0,0
2017,3,1,11.3,15,7,0,0,62,0,11.4,18.5,33.5,0,0,0,0,0,0,0
2017,3,2,12.1,17.6,7,0,0,80,0,11.1,13,22.2,42.4,0,0,0,0,0,0
2017,3,3,12.9,16.2,11,0,0,84,0,8.5,12.2,33.5,0,0,1,0,0,0,0
2017,3,4,11,15.7,6,0,0,62,15.75,9.8,31.3,63,81.7,0,1,0,0,0,0
2017,3,5,11.2,16,6,0,0,67,0.51,10.8,19.1,42.4,50,0,0,0,0,0,0
2017,3,6,16.5,24.1,10,0,0,51,0,10.6,18.5,38.9,51.9,0,0,0,0,0,0
2017,3,7,13.9,18,10,0,0,51,0,11.3,15.2,33.5,40.7,0,0,0,0,0,0
2017,3,8,13.6,16.7,11,0,0,80,0,11.1,11.5,25.9,0,0,0,0,0,0,0
2017,3,9,13,16.6,11,0,0,86,0,9.3,7.4,18.3,0,1,0,0,0,0,0
2017,3,10,14.7,20.5,10.9,0,0,73,0,9,11.9,29.4,0,0,0,0,0,0,0
2017,3,11,14.4,19.5,11,0,0,74,0,0,9.4,20.6,37,0,0,0,0,0,0
2017,3,12,13.9,18,10,0,0,79,0,10.1,11.7,27.8,92.4,0,0,0,0,0,0
2017,3,13,14.9,19.1,12,0,0,69,0,10.1,20.4,48.2,59.4,0,1,0,0,0,0
2017,3,14,14.1,21.6,10,0,0,68,0,10.9,13,22.2,37,0,0,0,0,0,0
2017,3,15,13.3,19.2,10,0,0,69,0,9.8,9.3,20.6,25.9,0,0,0,0,0,0
2017,3,16,12.8,17.5,9,0,0,76,0,8.5,12.8,20.6,33.5,0,0,0,0,0,0
2017,3,17,13.2,18,8,0,0,61,0,0,20.6,38.9,0,0,0,0,0,0,0
2017,3,18,13.6,18,9.6,0,0,70,0,11.3,9.8,22.2,0,0,0,0,0,0,0
2017,3,19,13.5,17.5,9,0,0,78,0,9.8,12.4,24.1,0,0,0,0,0,0,0
2017,3,20,13.9,18.6,10.8,0,0,73,0,11.1,9.1,20.6,0,0,0,0,0,0,0
2017,3,21,13.5,17.6,9,0,0,78,0,10,11.5,18.3,0,0,0,0,0,0,0
2017,3,22,14.3,17.7,10,0,0,73,0,10.1,15,31.7,38.9,0,0,0,0,0,0
2017,3,23,13,16.7,10,0,0,59,0,10,16.5,31.7,51.9,0,0,0,0,0,0
2017,3,24,9.6,12.2,7,0,0,75,9.91,9.3,16.5,29.4,48.2,0,1,0,0,1,0
2017,3,25,10.3,16.1,6,0,0,75,64.77,9.7,16.5,29.4,40.7,0,1,0,0,0,0
2017,3,26,12,16.7,7,0,0,73,0,10.8,12.4,24.1,40.7,0,0,0,0,0,0
2017,3,27,12.3,16.2,9,0,0,81,2.03,10.6,16.7,31.3,0,0,1,0,0,0,0
2017,3,28,12.3,16.6,8,0,0,80,0,10.5,11.7,18.3,33.5,0,0,0,0,0,0
2017,3,29,14.4,19.5,10,0,0,73,0,10.1,14.1,24.1,42.4,0,0,0,0,0,0
2017,3,30,14.6,18.7,10.9,0,0,78,0,0,15.2,25.9,35.2,0,0,0,0,0,0
2017,3,31,13.7,17.7,10,0,0,79,0,10.8,12.8,27.8,0,0,1,0,0,0,0
2017,4,1,12.5,15.5,10,0,0,79,1.02,10.8,10.2,25.9,0,0,1,0,0,1,0
2017,4,2,12,17.2,8,0,0,71,4.57,10.3,15,25.9,40.7,0,1,0,0,0,0
2017,4,3,14.1,20.1,9,0,0,63,0.51,11.6,17.6,31.7,42.4,0,0,0,0,0,0
2017,4,4,15.4,21.2,10,0,0,60,0,14,18.3,27.8,48.2,0,0,0,0,0,0
2017,4,5,14.6,19.2,11,0,0,72,1.02,11.1,10.4,22.2,0,0,1,0,0,0,0
2017,4,6,14.2,20,9,0,0,74,3.3,11.6,13.1,22.2,35.2,0,0,0,0,0,0
2017,4,7,14.3,19,10,0,0,69,0,0,12.8,24.1,44.6,0,0,0,0,0,0
2017,4,8,14.6,18.7,10,0,0,75,0,10.9,16.3,25.9,0,0,0,0,0,0,0
2017,4,9,14.1,18.5,9.8,0,0,75,0,11.4,14.6,25.9,0,0,0,0,0,0,0
2017,4,10,15.3,19.1,10.8,0,0,69,0,11.1,21.1,38.9,0,0,0,0,0,0,0
2017,4,11,16.1,20.1,12,0,0,75,0,11.1,12.8,27.8,0,0,0,0,0,0,0
2017,4,12,15.9,20.7,12,0,0,77,0,9.7,10.2,16.5,38.9,0,0,0,0,0,0
2017,4,13,15.5,19.2,12,0,0,81,0,10,10.6,22.2,0,0,0,0,0,0,0
2017,4,14,16.8,21.1,13,0,0,70,0,8.9,8.9,16.5,0,0,1,0,0,0,0
2017,4,15,16.1,19.1,14,0,0,74,0,10.9,11.9,20.6,38.9,0,0,0,0,0,0
2017,4,16,15.9,20,12,0,0,72,0.25,10.1,16.9,37,0,0,0,0,0,0,0
2017,4,17,15.9,19.7,12.9,0,0,79,0,10.5,13.3,25.9,0,0,0,0,0,0,0
2017,4,18,16.3,19.7,13,0,0,80,0,9.7,10.9,20.6,0,0,0,0,0,0,0
2017,4,19,14.7,18,11,0,0,43,0,10.5,16.5,35.2,55.4,0,0,0,0,0,0
2017,4,20,12.4,16.5,8.6,0,0,50,0,10.8,14.6,33.5,0,0,0,0,0,0,0
2017,4,21,12.2,17.1,6.9,0,0,56,0,14,13,22.2,0,0,0,0,0,0,0
2017,4,22,13.3,18,8,0,0,66,0,0,21.7,37,38.9,0,0,0,0,0,0
2017,4,23,14.7,19.7,10,0,0,68,0,0,11.5,24.1,0,0,0,0,0,0,0
2017,4,24,14.9,18.7,10.8,0,0,76,0,12.1,11.7,24.1,0,0,0,0,0,0,0
2017,4,25,15.4,19.5,11,0,0,79,0,10.8,15.4,29.4,0,0,1,0,0,0,0
2017,4,26,14.2,16.6,12,0,0,88,0.25,8.9,13.1,29.4,0,0,1,0,0,0,0
2017,4,27,9.1,12,7,0,0,84,22.61,10.1,11.5,22.2,33.5,0,1,0,0,0,0
2017,4,28,11.1,16,6,0,0,63,8.38,10.3,14.6,22.2,38.9,0,0,0,0,0,0
2017,4,29,12.8,17.5,7.8,0,0,65,0,11.3,18.9,29.4,0,0,1,0,0,0,0
2017,4,30,16.2,19,13.8,0,0,78,0.76,10.8,20.9,29.4,0,0,1,0,0,0,0
2017,5,1,14.7,17.7,12,0,0,59,1.78,10.6,12.6,22.2,0,0,1,0,0,0,0
2017,5,2,14.8,18.6,10,0,0,72,0,11.1,18.1,33.5,0,0,0,0,0,0,0
2017,5,3,15.3,18.1,14,0,0,80,0,10.8,10.4,24.1,0,0,1,0,0,0,0
2017,5,4,15.6,19.2,12,0,0,83,0,9.2,12,25.9,0,0,0,0,0,0,0
2017,5,5,17.1,21,15,0,0,73,0,10.5,23.9,38.9,0,0,1,0,0,0,0
2017,5,6,19.4,26.2,15,0,0,55,0,11.3,20.7,46.5,0,0,0,0,0,0,0
2017,5,7,16.7,20.2,13,0,0,75,0,10.6,11.9,22.2,0,0,0,0,0,0,0
2017,5,8,16.8,19.7,13,0,0,75,0,10.9,10.9,16.5,0,0,0,0,0,0,0
2017,5,9,16.4,19.6,12.9,0,0,77,0,10.5,11.7,22.2,0,0,0,0,0,0,0
