Y,M,D,Holiday,Yesterday accidents
2018,3,31,0,11
2018,4,1,0,9
2018,4,2,1,14
2018,4,3,0,5
2018,4,4,0,33
2018,4,5,0,27
2018,4,6,0,37
2018,4,7,0,38
2018,4,8,0,21
2018,4,9,0,16
2018,4,10,0,35
2018,4,11,0,36
2018,4,12,0,30
2018,4,13,0,29
2018,4,14,0,29
2018,4,15,0,18
2018,4,16,0,18
2018,4,17,0,36
2018,4,18,0,32
2018,4,19,0,48
2018,4,20,0,25
2018,4,21,0,43
2018,4,22,0,28
2018,4,23,0,16
2018,4,24,0,35
2018,4,25,0,36
2018,4,26,0,32
2018,4,27,0,28
2018,4,28,0,45
2018,4,29,0,21
2018,4,30,0,15
2018,5,1,1,27
2018,5,2,0,17
2018,5,3,0,42
2018,5,4,0,50
2018,5,5,0,34
2018,5,6,0,24
2018,5,7,0,15
2018,5,8,0,26
2018,5,9,0,28
2018,5,10,0,29
2018,5,11,0,32
2018,5,12,0,43
2018,5,13,0,21
2018,5,14,0,25
2018,5,15,0,34
2018,5,16,0,33
2018,5,17,0,38
2018,5,18,0,20
2018,5,19,0,31
2018,5,20,0,10
2018,5,21,0,16
2018,5,22,0,18
2018,5,23,0,22
2018,5,24,0,38
2018,5,25,0,33
2018,5,26,0,40
2018,5,27,0,20
2018,5,28,0,18
2018,5,29,0,27
2018,5,30,0,28
2018,5,31,0,29
2018,6,1,0,33
2018,6,2,0,35
2018,6,3,0,25
2018,6,4,0,11
2018,6,5,0,21
2018,6,6,0,28
2018,6,7,0,27
2018,6,8,0,25
2018,6,9,0,32
2018,6,10,0,21
2018,6,11,0,14
2018,6,12,0,19
2018,6,13,0,33
2018,6,14,0,22
2018,6,15,0,30
2018,6,16,0,27
2018,6,17,0,10
2018,6,18,0,15
2018,6,19,0,45
2018,6,20,0,47
2018,6,21,0,37
2018,6,22,0,38
2018,6,23,0,28
2018,6,24,0,14
2018,6,25,0,10
2018,6,26,0,39
2018,6,27,0,31
2018,6,28,0,43
2018,6,29,0,34
2018,6,30,0,31
2018,7,1,0,36
2018,7,2,0,13
2018,7,3,0,25
2018,7,4,0,36
2018,7,5,0,33
2018,7,6,0,29
2018,7,7,0,32
2018,7,8,0,25
2018,7,9,0,21
2018,7,10,0,41
2018,7,11,0,30
2018,7,12,0,25
2018,7,13,0,39
2018,7,14,0,30
2018,7,15,0,16
2018,7,16,0,22
2018,7,17,0,31
2018,7,18,0,40
2018,7,19,0,27
2018,7,20,0,29
2018,7,21,0,37
2018,7,22,0,21
2018,7,23,0,14
2018,7,24,0,24
2018,7,25,0,26
2018,7,26,0,37
2018,7,27,0,34
2018,7,28,0,32
2018,7,29,0,11
2018,7,30,0,20
2018,7,31,0,35
2018,8,1,0,29
2018,8,2,0,37
2018,8,3,0,31
2018,8,4,0,31
2018,8,5,0,22
2018,8,6,0,8
2018,8,7,0,26
2018,8,8,0,20
2018,8,9,0,18
2018,8,10,0,32
2018,8,11,0,28
2018,8,12,0,25
2018,8,13,0,12
2018,8,14,0,29
2018,8,15,1,22
2018,8,16,0,17
2018,8,17,0,19
2018,8,18,0,23
2018,8,19,0,14
2018,8,20,0,19
2018,8,21,0,18
2018,8,22,0,17
2018,8,23,0,19
2018,8,24,0,23
2018,8,25,0,23
2018,8,26,0,17
2018,8,27,0,14
2018,8,28,0,26
2018,8,29,0,25
2018,8,30,0,24
2018,8,31,0,19
2018,9,1,0,27
2018,9,2,0,11
2018,9,3,0,9
2018,9,4,0,33
2018,9,5,0,27
2018,9,6,0,27
2018,9,7,0,34
2018,9,8,0,26
2018,9,9,0,9
2018,9,10,0,15
2018,9,11,1,30
2018,9,12,0,14
2018,9,13,0,35
2018,9,14,0,36
2018,9,15,0,27
2018,9,16,0,7
2018,9,17,0,13
2018,9,18,0,24
2018,9,19,0,32
2018,9,20,0,34
2018,9,21,0,38
2018,9,22,0,41
2018,9,23,0,16
2018,9,24,0,12
2018,9,25,0,15
2018,9,26,0,32
2018,9,27,0,40
2018,9,28,0,34
2018,9,29,0,34
2018,9,30,0,25
2018,10,1,0,21
2018,10,2,0,29
2018,10,3,0,42
2018,10,4,0,33
2018,10,5,0,44
2018,10,6,0,41
2018,10,7,0,30
2018,10,8,0,20
2018,10,9,0,37
2018,10,10,0,41
2018,10,11,0,34
2018,10,12,1,34
2018,10,13,0,17
2018,10,14,0,26
2018,10,15,0,16
2018,10,16,0,31
2018,10,17,0,30
2018,10,18,0,23
2018,10,19,0,36
2018,10,20,0,35
2018,10,21,0,27
2018,10,22,0,18
2018,10,23,0,40
2018,10,24,0,29
2018,10,25,0,45
2018,10,26,0,37
2018,10,27,0,28
2018,10,28,0,27
2018,10,29,0,23
2018,10,30,0,32
2018,10,31,0,43
2018,11,1,1,41
2018,11,2,0,23
2018,11,3,0,38
2018,11,4,0,18
2018,11,5,0,14
2018,11,6,0,26
2018,11,7,0,38
2018,11,8,0,28
2018,11,9,0,26
2018,11,10,0,31
2018,11,11,0,26
2018,11,12,0,23
2018,11,13,0,25
2018,11,14,0,22
2018,11,15,0,21
2018,11,16,0,36
2018,11,17,0,36
2018,11,18,0,17
2018,11,19,0,12
2018,11,20,0,22
2018,11,21,0,44
2018,11,22,0,34
2018,11,23,0,25
2018,11,24,0,34
2018,11,25,0,24
2018,11,26,0,22
2018,11,27,0,30
2018,11,28,0,24
2018,11,29,0,30
2018,11,30,0,34
2018,12,1,0,24
2018,12,2,0,38
2018,12,3,0,22
2018,12,4,0,27
2018,12,5,0,42
2018,12,6,1,40
2018,12,7,0,14
2018,12,8,1,22
2018,12,9,0,15
2018,12,10,0,13
2018,12,11,0,32
2018,12,12,0,29
2018,12,13,0,28
2018,12,14,0,45
2018,12,15,0,41
2018,12,16,0,22
2018,12,17,0,19
2018,12,18,0,38
2018,12,19,0,30
2018,12,20,0,32
2018,12,21,0,32
2018,12,22,0,25
2018,12,23,0,29
2018,12,24,0,18
2018,12,25,1,24
2018,12,26,1,10
2018,12,27,0,6
2018,12,28,0,27
2018,12,29,0,26
2018,12,30,0,19
2018,12,31,0,14
